,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,names,city_region,public1,address,full_address,Latitude,Longitude
414,414,428,428,428,КГУ «Балхашский технический колледж имени «Халық   қаһарманы Республики Казахстан» РакымжанаКошкарбаева»,Карагандинская область,True," г. Сатпаев,
 ул. Кусаинова, 23а","Карагандинская область,  г. Сатпаев,
 ул. Кусаинова, 23а",50.063214495768,73.708406169249
415,415,429,429,429,«Сатпаевский индустриальный колледж»,Карагандинская область,True," г. Каражал
ул. Абая, 1","Карагандинская область,  г. Каражал
ул. Абая, 1",49.635384590195,72.848890504264
416,416,430,430,430,«Каражальский горно-технический колледж»,Карагандинская область,True,"  Шетский район
село Аксу-Аюлы
 ул. Жапакова 1","Карагандинская область,   Шетский район
село Аксу-Аюлы
 ул. Жапакова 1",48.761117010732,73.665408740596
417,417,431,431,431,«Шетский агротехнический колледж»,Карагандинская область,True," Жанааркинский
 район, п. Атасу,
 ул. Дружбы, 1","Карагандинская область,  Жанааркинский
 район, п. Атасу,
 ул. Дружбы, 1",48.692468956649,71.636329129156
418,418,432,432,432,«Аграрный колледж имени ГалымаЖарылгапова»,Карагандинская область,True," Улытауский р-н,  п.Карсакбай    ул.Сатпаев 3/1","Карагандинская область,  Улытауский р-н,  п.Карсакбай    ул.Сатпаев 3/1",50.059974798961,73.709314239076
419,419,433,433,433,«Карсакпайский агротехнический колледж»,Карагандинская область,True," Карагандинская обл.
 Актогайский район
С .Актогай, ул.Нарманбет 6.","Карагандинская область,  Карагандинская обл.
 Актогайский район
С .Актогай, ул.Нарманбет 6.",46.805387617464,75.022367702342
420,420,434,434,434,«Актогайский аграрно-технический колледж»,Карагандинская область,True,"Каркаралинский район с.Егиндыбулак, ул.Казыбекби, 16","Карагандинская область, Каркаралинский район с.Егиндыбулак, ул.Казыбекби, 16",49.784951019001,76.377338476655
421,421,435,435,435, «Егиндыбулакский агротехнический колледж»,Карагандинская область,True,"с.РостовкаБухаржырауского района, ул.Центральная, 12","Карагандинская область, с.РостовкаБухаржырауского района, ул.Центральная, 12",50.104357102003,72.904121881772
422,422,436,436,436, «Бухар-Жырауский агротехнический колледж»,Карагандинская область,True,"г. Сатпаев, пр. Сатпаева,101а
 ","Карагандинская область, г. Сатпаев, пр. Сатпаева,101а
 ",49.523184541182,72.841169743292
423,423,437,437,437,ЧУ «Медицинский колледж «Денсаулык»,Карагандинская область,True,"г. Караганда,
 Бульвар Мира 50","Карагандинская область, г. Караганда,
 Бульвар Мира 50",49.819662217996,73.103605726344
424,424,438,438,438,ЧУ «Карагандинский коммерческий колледж»,Карагандинская область,True,"г. Караганда,
ул. Ермекова 11/2","Карагандинская область, г. Караганда,
ул. Ермекова 11/2",49.781633713181,73.070562171317
425,425,439,439,439,ЧУ «Карагандинский колледж моды»,Карагандинская область,True,"г. Караганда,
11 «А» микрорайон","Карагандинская область, г. Караганда,
11 «А» микрорайон",49.778776909122,73.178270716769
426,426,440,440,440,ЧУ «Колледж «Сервис»,Карагандинская область,True,"г. Караганда,
ул. Муканова 3","Карагандинская область, г. Караганда,
ул. Муканова 3",49.769593696003,73.143856885444
427,427,441,441,441,ЧУ «Карагандинский банковский колледж»,Карагандинская область,True,"г. Караганда,
пр. Бухар-Жырау, 12","Карагандинская область, г. Караганда,
пр. Бухар-Жырау, 12",49.816007185642,73.079524940382
428,428,442,442,442,ЧУ «Многопрофильный гуманитарно-технический колледж»,Карагандинская область,True,"г. Караганда,
пр. БухарЖырау, 74 а.","Карагандинская область, г. Караганда,
пр. БухарЖырау, 74 а.",49.798330799583,73.092598278584
429,429,443,443,443,ТОО «Карагандинский юридический колледж «Фемида»,Карагандинская область,True,"г. Караганда, Муканова, 30","Карагандинская область, г. Караганда, Муканова, 30",49.775440408744,73.147981117083
430,430,444,444,444,ЧУ «Карагандинский колледж актуального образования «Болашак»,Карагандинская область,True,"г. Караганда,
ул. Академическая, 9","Карагандинская область, г. Караганда,
ул. Академическая, 9",49.779753987575,73.06254136053
431,431,445,445,445,"ЧУ «Колледж экономики, бизнеса  и права Карагандинского экономического университета Казпотребсоюза»",Карагандинская область,True,"г. Караганда,
ул. Ермекова 49/2","Карагандинская область, г. Караганда,
ул. Ермекова 49/2",49.791550300918,73.083063528446
432,432,446,446,446,ЧУ «Современный многопрофильный колледж»,Карагандинская область,True,"г. Темиртау,
ул. Луначарского 48/1","Карагандинская область, г. Темиртау,
ул. Луначарского 48/1",50.059843580266,72.938828241517
433,433,447,447,447,ЧУ «Темиртауский медицинский колледж»,Карагандинская область,True,"г. Жезказган,
 Байконурова, 123","Карагандинская область, г. Жезказган,
 Байконурова, 123",47.801729989146,67.696574687816
434,434,448,448,448,ЧУ «Жезказганский индустриально-гуманитарный колледж»,Карагандинская область,True,"г. Караганды
ул. Балхашская, 42","Карагандинская область, г. Караганды
ул. Балхашская, 42",49.780562589774,73.112599930313
435,435,449,449,449,ЧУ «Казахский естественно – гуманитарный колледж»,Карагандинская область,True,"г.Караганда,
ул. Анжерская, 24","Карагандинская область, г.Караганда,
ул. Анжерская, 24",49.778594015994,73.064704813559
436,436,450,450,450,«Карагандинский колледж экономики и статистики»,Карагандинская область,True,"г. Караганда,
ул. Ермекова, 28","Карагандинская область, г. Караганда,
ул. Ермекова, 28",49.799458291288,73.097855408256
437,437,451,451,451,«Колледж им. Д. Кунаева»,Карагандинская область,True,"г. Караганда,
Бульвар Мира, 35","Карагандинская область, г. Караганда,
Бульвар Мира, 35",49.817258959049,73.101228027743
438,438,452,452,452,"ЧУ «Колледж
иностранных языков»",Карагандинская область,True,"г. Балхаш,
ул. Алимжанова,
дом 1.","Карагандинская область, г. Балхаш,
ул. Алимжанова,
дом 1.",49.806701596736,73.08253513327
439,439,453,453,453,ЧУ «Балхашский колледж актуального образования академика Ж.С. Акылбаева»,Карагандинская область,True,"г. Караганда,
ул. Тулепова,12,","Карагандинская область, г. Караганда,
ул. Тулепова,12,",49.812735353807,73.110994339297
440,440,454,454,454,ЧУ «Бизнес - колледж Международный Бизнес-Академии»,Карагандинская область,True,"г.Караганда
ул. Язева 13 а.","Карагандинская область, г.Караганда
ул. Язева 13 а.",49.772669100097,73.133659126765
441,441,455,455,455,ЧУ «Карагандинский колледж»,Карагандинская область,True,"100300 г. Балхаш, ул. Казбековой 12","Карагандинская область, 100300 г. Балхаш, ул. Казбековой 12",46.840664617177,74.981212138655
442,442,456,456,456,ЧУ «Балхашский  многопрофильный колледж»,Карагандинская область,True,"г. Сатпаев, 
ул. Абая 1","Карагандинская область, г. Сатпаев, 
ул. Абая 1",49.635384590195,72.848890504264
443,443,457,457,457,ЧУ «Технологический колледж корпорации «Казахмыс»,Карагандинская область,True,"г. Темиртау,
пр. Строителей, 28.","Карагандинская область, г. Темиртау,
пр. Строителей, 28.",50.055327997569,72.995785788165
444,444,458,458,458,"ЧУ «Темиртауский технологический колледж»,",Карагандинская область,True,"г.Караганда
 ул.Жамбыла 19","Карагандинская область, г.Караганда
 ул.Жамбыла 19",49.818517900919,73.086078079923
445,445,459,459,459,ТОО «Карагандинский медико-технический колледж»,Карагандинская область,True,"Карагандинская область, город Темиртау, проспект Республики 37/2.","Карагандинская область, Карагандинская область,, город Темиртау, проспект Республики 37/2.",50.060834279312,72.985387869638
446,446,460,460,460,"ЧУ «Темиртауский многопрофильный колледж ""Мирас""",Карагандинская область,True,"100300
Карагандинская область,
г. Балхаш, ул. Ленина 36","Карагандинская область, 100300
Карагандинская область,,
г. Балхаш, ул. Ленина 36",50.240138485208,73.068250777697
447,447,461,461,461,ЧУ «Политехнический колледж корпорации «Казахмыс»,Карагандинская область,True,"г. Жезказган,
ул. Гоголя, 5","Карагандинская область, г. Жезказган,
ул. Гоголя, 5",47.792697608374,67.686593601334
